1;1;0,3,5;7.084917;12;(3.5,0)(8.5,1)(-0.5,0.5)(5.5,0)(-0.5,3)(8,5.5);
1;2;;0.5827808;15;(-0.5,1)(4,0)(6.5,-0.5)(1,6.5)(6,3)(8.5,6);
1;3;;1.64658;9;(7.5,-0.5)(8.5,3)(-0.5,0.5)(5.5,3.5)(2,-0.5)(5,-0.5);
1;4;;0.4971733;8;(8.5,5.5)(-0.5,6.5)(-0.5,-0.5)(8,4)(-0.5,2)(-0.5,4.5);
1;5;;1.490152;16;(8.5,2.5)(-0.5,-0.5)(-0.5,3.5)(8.5,5.5)(-0.5,6)(5.5,-0.5);
1;6;;2.603941;14;(-0.5,-0.5)(-0.5,1)(8,6)(8.5,3)(4.5,-0.5)(2,2.5);
1;1;;10.41762;12;(5.5,2.5)(2.5,6.5)(7.5,0.5)(3.5,5)(5,0.5)(0.5,3.5);
1;2;;0.343977;15;(6.5,0)(1,4.5)(5,4)(6,6.5)(7.5,6)(8.5,4.5);
1;3;;0.2925358;9;(5.5,4)(7.5,6.5)(7,3.5)(8.5,1.5)(4,3)(-0.5,6);
1;4;;0.3452072;8;(4.5,-0.5)(1,5.5)(7.5,4.5)(6,4.5)(2,0)(7,-0.5);
1;5;;0.3118649;16;(7,1.5)(8.5,5)(-0.5,6)(5,0.5)(3,5.5)(1,5.5);
1;6;;0.3092747;14;(4,5)(7.5,-0.5)(8.5,2)(4.5,0.5)(7.5,4.5)(1.5,3.5);
1;1;;10.88671;12;(2,5.5)(0.5,5)(4.5,3.5)(5.5,0.5)(8.5,6)(7,3.5);
1;2;;0.8056774;15;(8.5,5.5)(4,1)(3.5,4)(-0.5,5)(6,4.5)(1,6);
1;3;;0.5497952;9;(6.5,4.5)(1,6)(0.5,3.5)(4,3)(5,6.5)(-0.5,6.5);
1;4;;0.5665627;8;(5.5,2)(7,2.5)(7,4.5)(7,6.5)(4,2.5)(7.5,1);
1;5;;0.4119358;16;(3,4)(6,3.5)(8.5,5.5)(1.5,1.5)(4.5,2)(8,1);
1;6;;0.2420311;14;(8.5,4)(4.5,4.5)(0.5,4)(1,6)(6.5,3.5)(7.5,5.5);
1;7;;0.2766495;1;(8.5,5.5)(3,6.5)(4.5,5)(5,3)(-0.5,6.5)(4.5,0.5);
1;8;;0.1569881;5;(7.5,2)(2.5,6)(6,6)(4,4)(5.5,4)(7.5,4.5);
2;1;;0.5500889;7;(3,6.5)(6,-0.5)(3,4.5)(5.5,6.5)(6,2.5)(6,4);
2;2;;0.344944;4;(7,4.5)(8,1.5)(4.5,1)(2,5)(4.5,3.5)(6,2);
2;3;;0.345623;2;(7.5,6)(2,4)(6,3.5)(7.5,1.5)(-0.5,3.5)(6,5.5);
2;4;;0.3280048;13;(5.5,0.5)(5.5,4)(4,1)(2,5)(6,5.5)(0,4);
2;5;;0.242672;3;(8,1.5)(6.5,-0.5)(4,4)(0.5,4.5)(5,2.5)(5,-0.5);
2;6;;0.1394215;11;(0.5,4)(7.5,0)(5,3.5)(5.5,2)(6,-0.5)(0,6);
2;7;;0.2414417;10;(6,6)(3,5.5)(1,5.5)(4.5,3.5)(7.5,5)(8.5,0.5);
2;8;;0.3447609;6;(6,5)(7,2)(3.5,4.5)(1.5,5)(4,6)(8.5,3);
1;1;;20.81434;12;(0,-0.75)(12,5.25)(12,-4.5)(10,2.25)(-2,-5.25)(11,-0.75);
1;2;;0.6320724;15;(-7,-2.25)(10,-1.5)(10,-3)(10,-2.25)(8,-5.25)(10,4.5);
